CustomerID,FirstName,LastName,Phone,City,State,ZIP,CustomerName,emails,OrderID,OrderDate,ShippedDate
NT97,Janie,Adkins,001-829-593-2559x395,North Lucas,Minnesota,69235,Janie Adkins,janie.adkins@gmailx.com,,,
XM27,Ruben,Chatman,005-208-0962x5559,Hudsonfurt,Massachusetts,34278,Ruben Chatman,ruben.chatman@gmailx.com,,,
HR84,Franklin,Jones,+1-221-126-9082,Port Karinashire,Arkansas,89606,Franklin Jones,franklin.jones@gmailx.com,,,
QT53,Patricia,Durr,001-974-943-2024x9291,Timothychester,Virginia,31554,Patricia Durr,patricia.durr@gmailx.com,,,
QZ58,Harold,Andrews,733.059.8684x34350,Singletonborough,Alabama,48090,Harold Andrews,harold.andrews@gmailx.com,,,
UB79,Anna,May,+1-398-271-6201x29714,North Vincentborough,Arizona,42018,Anna May,anna.may@gmailx.com,8955.0,2020-09-17,2020-10-22
HS60,Forest,Dupre,001-547-064-9943x592,Darrenland,Montana,94735,Forest Dupre,forest.dupre@gmailx.com,,,
HP56,Noble,Landon,833-206-0500x07274,Devonmouth,Pennsylvania,50039,Noble Landon,noble.landon@gmailx.com,,,
AT34,Charles,Bowlin,(766)835-8548x8984,Beverlyborough,Oklahoma,52865,Charles Bowlin,charles.bowlin@gmailx.com,,,
YN99,Gregory,Damiano,9982517562,Floreston,Mississippi,91026,Gregory Damiano,gregory.damiano@gmailx.com,6090.0,2020-10-01,2020-10-25
CA78,Shiela,Fontillas,9192515339,Chelseyhaven,Rhode Island,11794,Shiela Fontillas,shiela.fontillas@gmailx.com,7419.0,2020-08-18,2020-11-10
NF61,Carol,Underwood,(883)885-3701x90225,Clarkchester,Nevada,66185,Carol Underwood,carol.underwood@gmailx.com,8653.0,2020-08-30,2020-10-24
WM37,James,Murphy,923-759-0147x558,New Leroy,Kansas,54583,James Murphy,james.murphy@gmailx.com,,,
CJ50,William,Hereford,+1-844-041-0181,East Jamie,Louisiana,32153,William Hereford,william.hereford@gmailx.com,130.0,2020-09-27,2020-10-31
HC94,Fran,Fisher,(712)792-1559x0787,West Lauren,Wyoming,15464,Fran Fisher,fran.fisher@gmailx.com,,,
VL99,Edith,Delong,253-025-1393,South Justin,Wyoming,27229,Edith Delong,edith.delong@gmailx.com,,,
YO82,Antonia,Gasca,(389)905-2524x7187,New Paulafurt,Washington,88463,Antonia Gasca,antonia.gasca@gmailx.com,,,
UO54,Marco,Leavins,233.342.8639x1163,Allenchester,Virginia,841,Marco Leavins,marco.leavins@gmailx.com,,,
ST34,Margareta,Jensen,534.644.4310x65218,Alyssabury,Texas,93389,Margareta Jensen,margareta.jensen@gmailx.com,,,
IV20,Anthony,Carter,057.722.3492x638,Port Ashley,Indiana,94193,Anthony Carter,anthony.carter@gmailx.com,8040.0,2020-09-24,2020-11-04
EB75,Sarah,Wick,665-677-0253x87370,South Jacob,Virginia,83634,Sarah Wick,sarah.wick@gmailx.com,,,
UB15,Michael,Evans,578-976-4739x39475,South Reneeland,Indiana,97041,Michael Evans,michael.evans@gmailx.com,8706.0,2020-09-07,2020-10-31
UJ09,Alicia,Dowker,302-706-5262x09874,North Connie,North Dakota,51504,Alicia Dowker,alicia.dowker@gmailx.com,,,
DJ64,Claudia,Boardman,(177)804-1836,East Anna,Maryland,62385,Claudia Boardman,claudia.boardman@gmailx.com,,,
KV35,Randolph,Taylor,+1-349-374-5098x1854,Clarkmouth,Idaho,75568,Randolph Taylor,randolph.taylor@gmailx.com,,,
JG15,Joseph,Luma,748.633.8744,Davenportport,Utah,40818,Joseph Luma,joseph.luma@gmailx.com,,,
ZE54,Wendell,Whitney,451-835-3415x5330,Gillespiebury,New Mexico,88391,Wendell Whitney,wendell.whitney@gmailx.com,,,
BY07,Esther,Favreau,982-473-0512x24343,Paynetown,Florida,99863,Esther Favreau,esther.favreau@gmailx.com,,,
TI60,Chantal,Morris,814.729.6821x4646,Buckleyport,Vermont,34736,Chantal Morris,chantal.morris@gmailx.com,,,
RT89,Jon,Carroll,(322)807-4670,Harrisfort,Wisconsin,23403,Jon Carroll,jon.carroll@gmailx.com,,,
VY09,Jacob,Boyles,(471)274-2118,Richardstad,New York,28103,Jacob Boyles,jacob.boyles@gmailx.com,,,
PI14,Daisy,Gargiulo,609.557.5062x714,Chadborough,Minnesota,27699,Daisy Gargiulo,daisy.gargiulo@gmailx.com,,,
OV74,Tanya,King,+1-471-909-3027x43921,South Robertastad,Tennessee,25275,Tanya King,tanya.king@gmailx.com,,,
DP05,Erin,Genna,616-933-3164x8866,Pattersonberg,New Mexico,53036,Erin Genna,erin.genna@gmailx.com,,,
ZZ69,Monique,Rempel,+1-701-735-2744x27881,Fletchermouth,Pennsylvania,7367,Monique Rempel,monique.rempel@gmailx.com,,,
NX71,Mary,Vanvalkenburg,088.326.5663x344,Stonemouth,Georgia,25748,Mary Vanvalkenburg,mary.vanvalkenburg@gmailx.com,,,
YO90,Doris,Shaw,+1-753-054-3142x9406,Lake Stevefurt,Missouri,10965,Doris Shaw,doris.shaw@gmailx.com,,,
HW75,Dena,Dobbs,807.774.3816x4973,Oconnorhaven,Nevada,48116,Dena Dobbs,dena.dobbs@gmailx.com,,,
FW36,Franklin,Rodriquez,001-336-287-9539x957,Michaelbury,Rhode Island,19834,Franklin Rodriquez,franklin.rodriquez@gmailx.com,,,
KS80,Brian,Nishida,494-080-0749x96293,Donaldland,Vermont,26734,Brian Nishida,brian.nishida@gmailx.com,,,
CY47,Josh,Bonds,001-144-814-5759,Powellview,Arkansas,56421,Josh Bonds,josh.bonds@gmailx.com,,,
FR76,Patrick,Cook,935.098.8323x7571,South Micheal,Maine,72649,Patrick Cook,patrick.cook@gmailx.com,,,
NA70,Michelle,Hendrick,+1-735-619-5833x67176,North Christopherton,Louisiana,29949,Michelle Hendrick,michelle.hendrick@gmailx.com,,,
TY54,Edwin,Force,+1-896-686-9693,Brookeland,Connecticut,33811,Edwin Force,edwin.force@gmailx.com,,,
VR18,Josie,Jaco,854-118-5866,New David,Kansas,56186,Josie Jaco,josie.jaco@gmailx.com,,,
DO66,Ruby,Cordova,080.722.0219x8393,Port Erikfort,New Mexico,47914,Ruby Cordova,ruby.cordova@gmailx.com,,,
BW15,Allen,Steinert,3982207646,Breannahaven,Ohio,40444,Allen Steinert,allen.steinert@gmailx.com,,,
VA39,Katharine,Zimmerman,+1-384-150-0089x0403,Port Kevinville,Wisconsin,77617,Katharine Zimmerman,katharine.zimmerman@gmailx.com,,,
FW14,Keith,Glick,001-979-304-2581x12747,Port Jesus,Wisconsin,15810,Keith Glick,keith.glick@gmailx.com,,,
LK36,Lewis,Sanderfer,164-834-4410,Wilsonfort,Florida,96026,Lewis Sanderfer,lewis.sanderfer@gmailx.com,,,
TP22,Anita,Shipp,236-527-5250x7021,New Fernando,Hawaii,98247,Anita Shipp,anita.shipp@gmailx.com,,,
BE22,Carlos,Grothe,942.993.3665x130,Alyssaview,Virginia,40830,Carlos Grothe,carlos.grothe@gmailx.com,,,
UU47,Joseph,Sherwood,1363144136,Kendrastad,New Hampshire,1746,Joseph Sherwood,joseph.sherwood@gmailx.com,7826.0,2020-08-29,2020-10-20
DG53,Nicolas,Griglen,001-735-144-0501x6429,Karenport,Minnesota,87640,Nicolas Griglen,nicolas.griglen@gmailx.com,,,
UV60,Salvatore,Smith,749.858.0493,Davistown,Minnesota,31061,Salvatore Smith,salvatore.smith@gmailx.com,,,
RH96,Ronald,Darby,(266)807-7653,South Sara,North Dakota,50501,Ronald Darby,ronald.darby@gmailx.com,,,
RX78,Lillian,Perry,+1-922-882-4477x73695,Joshuatown,Kansas,59916,Lillian Perry,lillian.perry@gmailx.com,,,
CT28,Teri,Conway,(527)115-9101x3740,Barnesmouth,Alaska,91756,Teri Conway,teri.conway@gmailx.com,,,
TT32,Carolyn,Carty,765-801-3432,Delgadochester,North Dakota,75335,Carolyn Carty,carolyn.carty@gmailx.com,,,
DK09,Jacqueline,Marquez,062-499-3579,North John,New Mexico,22295,Jacqueline Marquez,jacqueline.marquez@gmailx.com,,,
RR51,Amy,Fabian,(692)325-8816x6403,Heathville,Michigan,64229,Amy Fabian,amy.fabian@gmailx.com,,,
JM49,Bennie,Giles,(757)837-0362x901,Lake Jonathanshire,West Virginia,44963,Bennie Giles,bennie.giles@gmailx.com,,,
JG31,Janet,Kirk,+1-804-679-7879x0096,Evanshaven,Massachusetts,73980,Janet Kirk,janet.kirk@gmailx.com,,,
WW62,Bill,Hudson,(213)159-9793x41468,Kimberlymouth,West Virginia,20830,Bill Hudson,bill.hudson@gmailx.com,,,
QN19,Joe,Russell,990-818-5205x686,Loriview,Louisiana,98526,Joe Russell,joe.russell@gmailx.com,,,
YE10,Mary,Isom,(784)646-6575x897,Port Barry,North Dakota,62680,Mary Isom,mary.isom@gmailx.com,,,
JA28,Angel,Eason,(580)577-9867,Port Teresamouth,North Dakota,34833,Angel Eason,angel.eason@gmailx.com,,,
TN93,Reed,Glass,418.268.3009,Andradestad,Washington,60214,Reed Glass,reed.glass@gmailx.com,,,
HT46,Ella,Cosgrove,678.296.7152,North Julia,Kentucky,11300,Ella Cosgrove,ella.cosgrove@gmailx.com,,,
HG27,Kelley,Smith,325.717.0015,New Amberside,Rhode Island,4339,Kelley Smith,kelley.smith@gmailx.com,,,
WK68,Gary,Smith,423.591.8496x6538,New William,Mississippi,76140,Gary Smith,gary.smith@gmailx.com,,,
FB82,Patricia,Criger,277-571-5128,Jillmouth,Oklahoma,63274,Patricia Criger,patricia.criger@gmailx.com,,,
XU40,Michael,Parker,082.861.2746,Stevensburgh,Kentucky,94236,Michael Parker,michael.parker@gmailx.com,,,
AZ09,Eva,Deleon,(035)096-8403x203,East Ryan,Alabama,22449,Eva Deleon,eva.deleon@gmailx.com,,,
TK10,Mark,Burns,865-413-1603x34703,North Wendy,Nebraska,44410,Mark Burns,mark.burns@gmailx.com,8371.0,2020-09-04,2020-10-18
DL27,Jamey,Hawkins,+1-239-740-5937x31944,Gallagherview,Montana,78701,Jamey Hawkins,jamey.hawkins@gmailx.com,,,
HU01,Donna,Jones,001-266-314-2484x759,Krystalstad,Missouri,60072,Donna Jones,donna.jones@gmailx.com,7820.0,2020-08-24,2020-10-13
FJ82,Tori,Mullens,+1-300-112-5089,Lake Lisa,Missouri,97719,Tori Mullens,tori.mullens@gmailx.com,,,
RV22,Bradley,Crum,001-988-990-8209x202,Lake Paul,Alaska,81376,Bradley Crum,bradley.crum@gmailx.com,,,
VG35,Clarence,Noble,553-789-6138x8891,Burnsfort,Kentucky,28066,Clarence Noble,clarence.noble@gmailx.com,,,
EB28,David,Roberts,(812)807-3642x9207,North Jeffrey,South Dakota,60826,David Roberts,david.roberts@gmailx.com,,,
RF91,Anita,Sabo,001-547-881-8896x83875,Fletcherville,Indiana,24172,Anita Sabo,anita.sabo@gmailx.com,,,
PN07,Helen,Benz,+1-596-162-7369x76788,Rickyport,Hawaii,60518,Helen Benz,helen.benz@gmailx.com,,,
AJ52,William,Case,2597480319,North Samanthaborough,Kentucky,23404,William Case,william.case@gmailx.com,,,
EE68,Robert,Alvarado,(232)469-4737x03578,West Victorialand,Georgia,14127,Robert Alvarado,robert.alvarado@gmailx.com,,,
QO45,Ethel,Aguilar,608.957.2936,North Joseph,Alaska,94337,Ethel Aguilar,ethel.aguilar@gmailx.com,,,
RJ93,Grace,Ferry,(145)749-8909x64695,South Jonathonmouth,Georgia,11698,Grace Ferry,grace.ferry@gmailx.com,,,
OO71,Marie,Lamar,(407)911-9901x78062,Lake Thomasbury,North Dakota,31419,Marie Lamar,marie.lamar@gmailx.com,,,
YZ70,Lynn,Leachman,+1-566-937-1245,Hansenborough,Kentucky,43390,Lynn Leachman,lynn.leachman@gmailx.com,,,
TL54,Mariam,Canning,+1-725-558-1749,North Brian,Wisconsin,35812,Mariam Canning,mariam.canning@gmailx.com,,,
HR81,Elizabeth,Leon,(505)647-1065,North Amy,Iowa,42692,Elizabeth Leon,elizabeth.leon@gmailx.com,,,
RF39,Richard,Merrifield,213.573.7893x921,Lake Jeffrey,Maine,70778,Richard Merrifield,richard.merrifield@gmailx.com,,,
DM12,Mack,Ashby,(205)707-3773,Howardview,Arizona,10634,Mack Ashby,mack.ashby@gmailx.com,,,
QC48,Mildred,Bulat,780-359-3188x47059,New Jasonview,California,58727,Mildred Bulat,mildred.bulat@gmailx.com,,,
CH68,Leila,Doty,464.642.1875,Port Amber,Pennsylvania,72889,Leila Doty,leila.doty@gmailx.com,,,
NI21,Francis,Muniz,+1-845-238-8949x837,Aaronfurt,South Carolina,77899,Francis Muniz,francis.muniz@gmailx.com,,,
ZE32,Curtis,Matson,001-470-978-4224x04717,Wandaside,Maryland,59070,Curtis Matson,curtis.matson@gmailx.com,,,
FE92,Roger,Correa,1976595663,East Danielmouth,New York,59450,Roger Correa,roger.correa@gmailx.com,,,
CS87,Susanne,Demar,(812)380-8627,North Johnnytown,Kentucky,52475,Susanne Demar,susanne.demar@gmailx.com,,,
HJ01,Darcie,Hudson,+1-890-325-8145,Shannonburgh,Alaska,43490,Darcie Hudson,darcie.hudson@gmailx.com,,,
PK34,Jon,Walsh,580.136.2659,Lake Brandyton,Colorado,78427,Jon Walsh,jon.walsh@gmailx.com,,,
VP91,Valerie,Palmer,(544)209-3278x25669,West John,Nebraska,82624,Valerie Palmer,valerie.palmer@gmailx.com,,,
DA38,Charles,Williams,306-540-0001x2491,New Kevinfort,Iowa,96812,Charles Williams,charles.williams@gmailx.com,,,
KV05,Barbara,Legros,+1-449-252-7034x493,New Nicole,South Dakota,35511,Barbara Legros,barbara.legros@gmailx.com,,,
RG62,Donna,Jackson,+1-718-920-4119x0952,Davischester,Washington,79174,Donna Jackson,donna.jackson@gmailx.com,,,
IJ68,Concha,Danger,+1-425-615-6434,Williamhaven,Indiana,38453,Concha Danger,concha.danger@gmailx.com,,,
FU48,Karen,Crosby,+1-406-912-6991x302,Jenniferburgh,New York,49406,Karen Crosby,karen.crosby@gmailx.com,,,
ZF96,Christopher,Pulido,(876)275-0312,East Roy,Nevada,37348,Christopher Pulido,christopher.pulido@gmailx.com,,,
QZ01,Susan,Alpers,(571)714-8565,Port Misty,Massachusetts,2497,Susan Alpers,susan.alpers@gmailx.com,,,
DI10,Ian,Gray,3515755133,Johnmouth,Nevada,91862,Ian Gray,ian.gray@gmailx.com,,,
VI74,Charles,Gramby,+1-269-868-0145x071,Kellyburgh,Illinois,59846,Charles Gramby,charles.gramby@gmailx.com,,,
MM06,Frank,Self,+1-372-086-1838x6450,Smithfort,Maryland,68961,Frank Self,frank.self@gmailx.com,5963.0,2020-10-07,2020-11-03
MR88,Michael,Shaw,6998586398,Erikamouth,Idaho,78914,Michael Shaw,michael.shaw@gmailx.com,,,
QW27,Edmund,Woolard,134-082-1401x14086,Myersland,West Virginia,30523,Edmund Woolard,edmund.woolard@gmailx.com,345.0,2020-09-01,2020-10-28
YS76,Ronald,Eichenberger,+1-933-308-8007x4739,Stephanieburgh,New Jersey,5347,Ronald Eichenberger,ronald.eichenberger@gmailx.com,,,
DE78,Allen,Mcarthur,0491266351,Bergerborough,New Hampshire,39284,Allen Mcarthur,allen.mcarthur@gmailx.com,,,
CT39,Kevin,Esters,+1-853-448-5480x889,Lake Ginaport,Washington,27192,Kevin Esters,kevin.esters@gmailx.com,,,
DA90,Christine,Treto,681-107-1222x9252,Carterport,Illinois,94429,Christine Treto,christine.treto@gmailx.com,1859.0,2020-09-21,2020-11-05
WE50,Mary,Mccabe,(137)617-5883x22545,Michelebury,Illinois,89545,Mary Mccabe,mary.mccabe@gmailx.com,,,
XT63,Keith,Rockett,+1-550-416-2202x87487,Brownmouth,Maryland,69642,Keith Rockett,keith.rockett@gmailx.com,,,
GS08,Henry,Mckee,(355)983-3478,West Eric,Minnesota,99367,Henry Mckee,henry.mckee@gmailx.com,,,
OU27,Santiago,Tenorio,485-450-6670x069,Jacobside,New Mexico,2889,Santiago Tenorio,santiago.tenorio@gmailx.com,6833.0,2020-09-05,2020-11-02
MR94,Charlotte,Hicks,(282)681-7997,Alexanderhaven,North Dakota,8885,Charlotte Hicks,charlotte.hicks@gmailx.com,,,
AD02,Judy,Olson,+1-958-900-6578x042,North Veronica,Washington,54230,Judy Olson,judy.olson@gmailx.com,,,
SG70,Thomas,Stewart,001-225-283-3873x153,Parkermouth,Missouri,81780,Thomas Stewart,thomas.stewart@gmailx.com,,,
FU56,Judy,Harden,557-863-5754x7431,South Tiffanyborough,Vermont,50875,Judy Harden,judy.harden@gmailx.com,5306.0,2020-08-28,2020-10-28
FS02,Mary,Egbert,596.054.2667,Port Danielhaven,South Carolina,74444,Mary Egbert,mary.egbert@gmailx.com,,,
PN37,Eneida,Francis,167.941.7628,Dariusport,Georgia,52936,Eneida Francis,eneida.francis@gmailx.com,2688.0,2020-10-05,2020-11-08
WM93,Denise,Mckinney,+1-931-455-9933x283,Jamesfurt,Nebraska,49060,Denise Mckinney,denise.mckinney@gmailx.com,,,
BB26,Rachel,Cuellar,988-904-8479x655,South Rachelhaven,Kansas,40668,Rachel Cuellar,rachel.cuellar@gmailx.com,,,
WP77,Henry,Ragland,+1-949-232-9759x47487,Brianview,Mississippi,30188,Henry Ragland,henry.ragland@gmailx.com,,,
DX53,Jennifer,Plues,(641)219-2087x262,Lake Jason,Delaware,75540,Jennifer Plues,jennifer.plues@gmailx.com,,,
RN58,Thomas,Flores,549.133.8761x334,Weissstad,Minnesota,18065,Thomas Flores,thomas.flores@gmailx.com,,,
EX69,Ann,Shubert,+1-774-115-3080x7736,Lake Christopherbury,North Dakota,68111,Ann Shubert,ann.shubert@gmailx.com,224.0,2020-09-10,2020-10-21
LB74,Gary,Smallwood,+1-872-396-6039x2930,New Bethanyfurt,California,13890,Gary Smallwood,gary.smallwood@gmailx.com,,,
SB43,John,Dukes,416-091-3439x96674,Lake Kylemouth,Illinois,45841,John Dukes,john.dukes@gmailx.com,,,
AG96,Lenora,Blanton,+1-823-501-1642x1959,Lake Ryanstad,Oregon,558,Lenora Blanton,lenora.blanton@gmailx.com,,,
VD12,Kristie,Sanchez,(857)461-7125x6496,Ortizshire,Texas,64050,Kristie Sanchez,kristie.sanchez@gmailx.com,,,
FF66,John,Jones,(335)922-4379x11284,Lake Sandraburgh,New Hampshire,71276,John Jones,john.jones@gmailx.com,,,
FT07,Sarah,Franco,(262)807-1067,Bateschester,Ohio,43188,Sarah Franco,sarah.franco@gmailx.com,,,
DH93,Richard,Hogan,420.934.8187x8924,Lake Robertchester,Utah,83400,Richard Hogan,richard.hogan@gmailx.com,,,
YS48,Eva,Hardesty,245-183-3342x417,New Robert,Iowa,2451,Eva Hardesty,eva.hardesty@gmailx.com,,,
WA43,Ronald,Lubrano,1591064604,North Stevenland,Hawaii,74919,Ronald Lubrano,ronald.lubrano@gmailx.com,,,
